rumor_summary,rumor_keywords,rumor_publishTime,rumor_editor,rumor_sourceText,split_keywords
2024年9月20日谣言：上海有人因台风被吹落高坠。,"详情,室内外,屈绍辉,科普,国家",2024-09-20 16:43:56,贾玉韬,中国互联网联合辟谣平台,"['详情', '室内外', '屈绍辉', '科普', '国家']"
2024年9月19日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,晶莹,详情",2024-09-19 17:07:15,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '晶莹', '详情']"
,,2024-09-18 15:42:07,周文婧,中国互联网联合辟谣平台,['']
2024年9月14日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-09-14 16:04:34,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,"真相,屈绍辉,提示,设计,误区",2024-09-13 17:04:41,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
,"真相,屈绍辉,提示,详情,误区",2024-09-12 17:34:31,吴炎,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年9月11日谣言：真相：误区：真相：提示：详情：监制：屈绍辉 编辑：董晋 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-09-11 17:31:12,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
真相：误区：乳牙早晚要换成恒牙，所以不用治。,"真相,屈绍辉,监制,北京,详情",2024-09-10 16:04:46,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '监制', '北京', '详情']"
真相：提示：2024年8月全国受理网络违法和不良信息举报1983.3万件详情：监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"详情,真相,睡不着,强买强卖,屈绍辉",2024-09-09 17:26:07,贾玉韬,中国互联网联合辟谣平台,"['详情', '真相', '睡不着', '强买强卖', '屈绍辉']"
2024年9月6日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-09-06 16:37:48,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-09-05 17:37:15,周文婧,中国互联网联合辟谣平台,['']
2024年5月6日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,设计,误区",2024-09-04 16:23:24,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
2024年9月3日辟谣：无详情：近误区：面真相：面提示：开详情：随监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,屈绍辉,提示,晶莹,误区",2024-09-03 16:03:15,董晋,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '晶莹', '误区']"
,,2024-09-02 18:31:58,霍晶莹,中国互联网联合辟谣平台,['']
2024年8月30日谣言：真相：误区：真相：提示：详情：监制：屈绍辉 编辑：董晋 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-08-30 17:03:36,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年8月29日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-08-29 16:29:00,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,"谣言,详情,真相,屈绍辉,地下室",2024-08-28 17:57:48,贾玉韬,中国互联网联合辟谣平台,"['谣言', '详情', '真相', '屈绍辉', '地下室']"
2024年8月27日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-08-27 16:45:20,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
,,2024-08-26 17:32:04,周文婧,中国互联网联合辟谣平台,['']
2024年8月23日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-08-23 16:08:23,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,"真相,屈绍辉,提示,详情,误区",2024-08-22 17:04:47,吴炎,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年8月21日谣言：青岛崂山水库污染严重，鱼类漂浮成灾。,"真相,屈绍辉,晶莹,漂浮,详情",2024-08-21 17:03:59,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '晶莹', '漂浮', '详情']"
,,2024-08-20 17:35:19,董晋,中国互联网联合辟谣平台,['']
2024年8月19日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-08-19 16:16:49,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年8月16日谣言：真相：误区：真相：通报：详情：监制：屈绍辉 编辑：周文婧 设计：肖丽丽 尹路。,"真相,屈绍辉,监制,详情,误区",2024-08-16 16:11:28,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '监制', '详情', '误区']"
2024年8月15日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：芮静 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-08-15 16:56:22,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-08-14 17:58:48,周文婧,中国互联网联合辟谣平台,['']
2024年8月13日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-08-13 17:14:22,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
,,2024-08-12 17:06:44,吴炎,中国互联网联合辟谣平台,['']
2024年8月9日谣言：四川雅安芦山县发生山洪灾害致三十多人失联。,"详情,屈绍辉,三十多,四川雅安,芦山县",2024-08-09 15:51:44,贾玉韬,中国互联网联合辟谣平台,"['详情', '屈绍辉', '三十多', '四川雅安', '芦山县']"
,,2024-08-08 16:15:21,周文婧,中国互联网联合辟谣平台,['']
2024年8月7日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-08-07 15:16:29,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
2024年8月6日谣言：真相：误区：真相：提示：多雨季节，当心霉菌引发过敏反应详情：监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,当心,晶莹,反应",2024-08-06 16:00:07,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '当心', '晶莹', '反应']"
2024年8月5日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-08-05 16:25:33,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-08-02 16:29:11,霍晶莹,中国互联网联合辟谣平台,['']
2024年8月1日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-08-01 16:14:38,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
,"详情,真相,谣言,屈绍辉,造谣",2024-07-31 17:23:46,吴炎,中国互联网联合辟谣平台,"['详情', '真相', '谣言', '屈绍辉', '造谣']"
2024年7月30日辟谣：详情：辟谣：详情：误区：真相：提示：详情：监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,辟谣,屈绍辉,提示,晶莹",2024-07-30 16:24:40,董晋,中国互联网联合辟谣平台,"['详情', '辟谣', '屈绍辉', '提示', '晶莹']"
,,2024-07-29 16:21:01,霍晶莹,中国互联网联合辟谣平台,['']
2024年7月26日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-07-26 16:22:01,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
真相：谣言：新疆喀什发生6.3级地震。,"真相,谣言,充电桩,屈绍辉,发生",2024-07-25 17:14:41,贾玉韬,中国互联网联合辟谣平台,"['真相', '谣言', '充电桩', '屈绍辉', '发生']"
,"真相,谣言,详情,屈绍辉,重庆市",2024-07-24 17:50:57,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '详情', '屈绍辉', '重庆市']"
,,2024-07-23 16:20:01,周文婧,中国互联网联合辟谣平台,['']
2024年7月22日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-07-22 16:17:50,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年7月19日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,晶莹,详情",2024-07-19 16:02:09,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '晶莹', '详情']"
2024年7月18日辟谣：详情：误区：真相：提示：详情：监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,屈绍辉,提示,晶莹,误区",2024-07-18 17:17:27,董晋,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '晶莹', '误区']"
,,2024-07-17 17:05:53,霍晶莹,中国互联网联合辟谣平台,['']
2024年7月16日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-07-16 17:06:37,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
真相：提示：2024年6月全国受理网络违法和不良信息举报1992.3万件详情：监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,住房,补贴,广西",2024-07-15 16:52:32,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '住房', '补贴', '广西']"
2024年7月12日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-07-12 15:34:26,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-07-11 16:21:29,周文婧,中国互联网联合辟谣平台,['']
2024年7月10日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-07-10 17:10:21,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年7月9日谣言：河真相：近谣言：广真相：连误区：高真相：很提示：别详情：优监制：屈绍辉 编辑：芮静 设计：肖丽丽 尹路。,"真相,谣言,屈绍辉,详情,提示",2024-07-09 16:14:43,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '屈绍辉', '详情', '提示']"
2024年7月8日谣言：。,"真相,屈绍辉,提示,详情,误区",2024-07-08 16:30:12,霍晶莹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-07-05 15:46:11,霍晶莹,中国互联网联合辟谣平台,['']
2024年7月4日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,李亚,详情,误区",2024-07-04 16:41:27,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李亚', '详情', '误区']"
2024年7月3日谣言：真相：误区：真相：提示：详情：监制：屈绍辉 编辑：周文婧 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-07-03 17:50:57,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,"真相,屈绍辉,提示,详情,误区",2024-07-02 18:23:02,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-07-01 16:16:24,周文婧,中国互联网联合辟谣平台,['']
2024年6月28日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-06-28 17:09:40,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
,"真相,谣言,屈绍辉,详情,提示",2024-06-27 18:19:28,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '屈绍辉', '详情', '提示']"
2024年6月26日辟谣：网详情：近谣言：长真相：近误区：助真相：有提示：高详情：近监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,真相,屈绍辉,提示,晶莹",2024-06-26 18:19:11,董晋,中国互联网联合辟谣平台,"['详情', '真相', '屈绍辉', '提示', '晶莹']"
,,2024-06-25 17:21:08,霍晶莹,中国互联网联合辟谣平台,['']
2024年6月24日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-06-24 16:44:56,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
真相：误区：吃黑色的食物可以止脱生发。,"真相,屈绍辉,止脱,返利,详情",2024-06-21 17:04:12,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '止脱', '返利', '详情']"
2023年9月7日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-06-20 16:35:28,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-06-19 16:46:21,周文婧,中国互联网联合辟谣平台,['']
,"真相,谣言,屈绍辉,详情,提示",2024-06-18 18:14:45,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '屈绍辉', '详情', '提示']"
2024年6月17日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-06-17 17:45:24,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年6月14日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,晶莹,详情,误区",2024-06-14 18:16:09,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '晶莹', '详情', '误区']"
,,2024-06-13 17:13:56,霍晶莹,中国互联网联合辟谣平台,['']
2024年6月12日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-06-12 17:50:10,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年6月11日谣言：真相：误区：真相：提示：详情：监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-06-11 15:08:00,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2023年9月7日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-06-07 16:11:32,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
,,2024-06-06 17:37:47,周文婧,中国互联网联合辟谣平台,['']
2024年6月5日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-06-05 17:54:15,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
,"真相,谣言,屈绍辉,详情,提示",2024-06-04 17:34:24,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '屈绍辉', '详情', '提示']"
,"详情,屈绍辉,晶莹,不良,科普",2024-06-03 16:50:46,吴炎,中国互联网联合辟谣平台,"['详情', '屈绍辉', '晶莹', '不良', '科普']"
,,2024-05-31 16:19:45,霍晶莹,中国互联网联合辟谣平台,['']
2024年5月30日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：董晋 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,设计,误区",2024-05-30 18:05:50,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
2024年5月29日谣言：真相：误区：真相：提示：详情：监制：屈绍辉 编辑：周文婧 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,设计,误区",2024-05-29 17:50:49,贾玉韬,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
2023年9月7日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-05-28 17:13:00,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,,2024-05-27 18:15:34,周文婧,中国互联网联合辟谣平台,['']
2024年5月24日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,设计,误区",2024-05-24 17:12:56,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
2024年5月23日谣言：旅真相：近误区：近真相：月提示：年详情：年详情：件监制：屈绍辉 编辑：芮静 设计：肖丽丽 尹路。,"详情,真相,屈绍辉,提示,误区",2024-05-23 17:04:24,董晋,中国互联网联合辟谣平台,"['详情', '真相', '屈绍辉', '提示', '误区']"
2024年5月22日谣言：真相：科普：详情：提示：详情：监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,屈绍辉,提示,晶莹,科普",2024-05-22 17:13:14,董晋,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '晶莹', '科普']"
,,2024-05-21 17:25:14,霍晶莹,中国互联网联合辟谣平台,['']
2024年5月20日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,设计,误区",2024-05-20 17:09:29,吴炎,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
真相：误区：幽门螺旋杆菌感染就会得胃癌。,"真相,庞凌河,旅游者,屈绍辉,靖西",2024-05-17 17:05:25,贾玉韬,中国互联网联合辟谣平台,"['真相', '庞凌河', '旅游者', '屈绍辉', '靖西']"
2024年5月16日谣言：广真相：近误区：幽真相：不提示：学详情：不监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,设计,误区",2024-05-16 16:59:20,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
,,2024-05-15 17:24:46,周文婧,中国互联网联合辟谣平台,['']
（来源：科学辟谣）提示：红火蚁已入侵12省份。,"红火,肿瘤,营养,入侵,信息",2024-05-14 15:52:40,董晋,中国互联网联合辟谣平台,"['红火', '肿瘤', '营养', '入侵', '信息']"
,,2024-05-13 17:01:48,吴炎,中国互联网联合辟谣平台,['']
2024年5月11日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,晶莹,设计",2024-05-11 16:21:29,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '晶莹', '设计']"
,,2024-05-10 17:45:26,霍晶莹,中国互联网联合辟谣平台,['']
2024年5月9日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,设计,误区",2024-05-09 17:52:41,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '设计', '误区']"
真相：误区：每天只需睡2个钟头，其余都是浪费时间。,"真相,博物馆,北京市,屈绍辉,依法",2024-05-08 17:07:06,贾玉韬,中国互联网联合辟谣平台,"['真相', '博物馆', '北京市', '屈绍辉', '依法']"
,,2024-05-07 16:51:15,周文婧,中国互联网联合辟谣平台,['']
2024年5月6日谣言：西真相：近科普：三详情：1986年提示：五详情：五监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"详情,屈绍辉,提示,科普,监制",2024-05-06 17:29:27,李亚琼,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '科普', '监制']"
2024年4月30日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-04-30 17:08:18,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,"真相,屈绍辉,提示,详情,误区",2024-04-29 16:08:50,吴炎,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年4月26日谣言：详情：误区：真相：提示：详情：监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,屈绍辉,提示,晶莹,误区",2024-04-28 16:32:04,董晋,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '晶莹', '误区']"
,,2024-04-26 16:50:48,霍晶莹,中国互联网联合辟谣平台,['']
2024年4月25日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-04-25 19:36:08,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
真相：误区：煤气罐起火，直接关阀门会爆炸。,"真相,煤气罐,屈绍辉,名电诈,犯罪",2024-04-24 16:51:35,贾玉韬,中国互联网联合辟谣平台,"['真相', '煤气罐', '屈绍辉', '名电诈', '犯罪']"
2024年4月23日谣言：网真相：近谣言：网真相：近科普：三真相：2提示：民详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"谣言,真相,屈绍辉,科普,三真",2024-04-23 16:57:13,李亚琼,中国互联网联合辟谣平台,"['谣言', '真相', '屈绍辉', '科普', '三真']"
,,2024-04-22 17:24:07,周文婧,中国互联网联合辟谣平台,['']
2024年4月19日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,李亚,详情",2024-04-19 17:17:22,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '李亚', '详情']"
,"详情,屈绍辉,提示,科普,监制",2024-04-18 17:10:15,吴炎,中国互联网联合辟谣平台,"['详情', '屈绍辉', '提示', '科普', '监制']"
,,2024-04-17 17:47:40,董晋,中国互联网联合辟谣平台,['']
2024年4月16日谣言：真相：误区：真相：提示：详情：监制：屈绍辉 编辑：霍晶莹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-04-16 16:59:23,董晋,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
2024年4月15日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-04-15 17:11:50,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
真相：关注：2024年3月全国受理网络违法和不良信息举报1853.2万件详情：监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"蚕豆,真相,屈绍辉,香格里拉,迪庆",2024-04-12 15:52:36,贾玉韬,中国互联网联合辟谣平台,"['蚕豆', '真相', '屈绍辉', '香格里拉', '迪庆']"
2024年4月11日谣言：真相：近误区：真相：此提示：详情：近监制：屈绍辉 编辑：闫丹丹 设计：肖丽丽 尹路。,"真相,屈绍辉,提示,详情,误区",2024-04-11 16:50:42,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '提示', '详情', '误区']"
,"详情,真相,屈绍辉,提示,误区",2024-04-10 17:32:01,周文婧,中国互联网联合辟谣平台,"['详情', '真相', '屈绍辉', '提示', '误区']"
,"详情,真相,屈绍辉,提示,误区",2024-04-09 17:28:55,吴炎,中国互联网联合辟谣平台,"['详情', '真相', '屈绍辉', '提示', '误区']"
